building,industrial,Private property,,52.17391304,MED
shop,dry_cleaning,Shops,Dry cleaning,85.07462687,MED
building,university,Private property,University Building,100,HIGH
leisure,nature_reserve,Recreation and leisure facilities,Nature reserve,82.8125,MED
amenity,theatre,Recreation and leisure facilities,Theatre,90.47619048,HIGH
leisure,track,Recreation and leisure facilities,Sports track,7.936507937,LOW
amenity,car_sharing,Commercial entities,Car Sharing Station,95.16129032,HIGH
railway,abandoned,Railway facilities,Abandoned Railway,100,HIGH
highway,corridor,Streets / bus stops / parking,,1.639344262,LOW
amenity,clinic,Health and wellness facilities,Clinic,98.33333333,HIGH
shop,car,Shops,Car Shop,94.91525424,HIGH
amenity,community_centre,Public Infrastructure,Community Centre,94.73684211,HIGH
shop,gift,Shops,Gift Shop,98.24561404,HIGH
shop,furniture,Shops,Furniture Shop,98.21428571,HIGH
railway,station,Railway facilities,Railway Station,100,HIGH
tourism,museum,Tourist attractions,Museum,100,HIGH
amenity,public_bookcase,Educational facilities,Public Book Case,66.66666667,MED
amenity,ice_cream,Shops,Ice Cream Shop,98,HIGH
building,dormitory,Educational facilities,Dormitory,94,HIGH
shop,laundry,Shops,Laundromat,92,HIGH
railway,light_rail,Railway facilities,,100,HIGH
shop,department_store,Shops,Department Store,100,HIGH
shop,books,Shops,Book Shop,97.91666667,HIGH
highway,construction,Streets / bus stops / parking,,76.59574468,MED
shop,mobile_phone,Shops,Mobile Phone Shop,100,HIGH
historic,tomb,Tourist attractions,Historic Tomb,8.888888889,LOW
amenity,doctors,Health and wellness facilities,Doctors,93.18181818,HIGH
building,hospital,Private property,Hospital building,84.09090909,MED
shop,bicycle,Shops,Bike Shop,100,HIGH
shop,florist,Shops,Florist,93.02325581,HIGH
amenity,charging_station,Streets / bus stops / parking,Charging Station,23.80952381,LOW
amenity,kindergarten,Educational facilities,Kindergarten,95,HIGH
amenity,bbq,Places to eat / drink,Bbq,0,LOW
amenity,veterinary,Health and wellness facilities,Vet,87.17948718,MED
amenity,car_wash,Shops,Car Wash,53.84615385,MED
building,civic,Private property,Civic building,94.87179487,HIGH
amenity,bicycle_repair_station,Shops,Bike Repair,94.59459459,HIGH
shop,copyshop,Shops,Copy shop,97.2972973,HIGH
amenity,police,Public Infrastructure,Police,94.44444444,HIGH
highway,elevator,Streets / bus stops / parking,,5.555555556,LOW
leisure,marina,Recreation and leisure facilities,Marina,91.66666667,HIGH
amenity,bus_station,Streets / bus stops / parking,Bus Station,97.14285714,HIGH
building,roof,Private property,Roof,28.57142857,LOW
craft,brewery,Places to eat / drink,Brewery,100,HIGH
military,office,Public Infrastructure,Military Office,76.47058824,MED
shop,jewelry,Shops,Jewelry Shop,100,HIGH
shop,yes,Shops,Shop (general),100,HIGH
amenity,marketplace,Commercial entities,Marketplace,96.96969697,HIGH
leisure,slipway,Recreation and leisure facilities,,9.090909091,LOW
leisure,dog_park,Recreation and leisure facilities,Dod park,60.60606061,MED
shop,pet,Shops,Pet shop,93.93939394,HIGH
man_made,reservoir_covered,Public Infrastructure,Reservoir,93.75,HIGH
shop,car_parts,Shops,Auto shop,100,HIGH
shop,doityourself,Shops,DIY shop,100,HIGH
landuse,commercial,Commercial entities,,100,HIGH
railway,tram_stop,Railway facilities,Tram stop,100,HIGH
amenity,college,Educational facilities,College,100,HIGH
amenity,car_rental,Shops,Car Rental,96.55172414,HIGH
historic,monument,Tourist attractions,Historic monument,75.86206897,MED
historic,ruins,Tourist attractions,Historic Ruin,48.27586207,MED
shop,greengrocer,Shops,Grocery,100,HIGH
shop,interior_decoration,Shops,Interior décor shop,96.55172414,HIGH
shop,hardware,Shops,Hardware shop,96.55172414,HIGH
building,church,Private property,Church,67.85714286,MED
leisure,common,Recreation and leisure facilities,Land (public access),42.85714286,LOW
man_made,mast,Public Infrastructure,Mast,3.571428571,LOW
shop,shoes,Shops,Shoes,100,HIGH
amenity,university,Educational facilities,University,100,HIGH
amenity,hospital,Health and wellness facilities,Hospital,88.46153846,MED
shop,optician,Shops,Glasses (optical),96.15384615,HIGH
building,college,Educational facilities,College building,100,HIGH
amenity,cinema,Recreation and leisure facilities,Cinema,95.83333333,HIGH
building,semidetached_house,Private property,Semidetached building,0,LOW
leisure,recreation_ground,Recreation and leisure facilities,Ground,16.66666667,LOW
shop,electronics,Shops,Electronics,100,HIGH
highway,traffic_signals,Streets / bus stops / parking,Traffic Signal,100,HIGH
leisure,golf_course,Recreation and leisure facilities,Golf Course,95.65217391,HIGH
shop,sports,Shops,Sports,95.65217391,HIGH
building,public,Public Infrastructure,Public Building,86.36363636,MED
leisure,horse_riding,Recreation and leisure facilities,Horse riding,27.27272727,LOW
shop,mall,Shops,Mall,63.63636364,MED
shop,tattoo,Shops,Tattoo shop,95.23809524,HIGH
amenity,arts_centre,Recreation and leisure facilities,Arts centre,95,HIGH
leisure,bleachers,Recreation and leisure facilities,Bleachers,0,LOW
shop,massage,Shops,Massage,65,MED
highway,proposed,Streets / bus stops / parking,Proposed Street,57.89473684,MED
railway,crossover,Railway facilities,Crossover,100,HIGH
shop,deli,Shops,Deli,100,HIGH
shop,art,Shops,Art shop,100,HIGH
amenity,comedy,Recreation and leisure facilities,Performance Arts (Comedy),,
amenity,event,Recreation and leisure facilities,Events venue,,
amenity,music_venue,Recreation and leisure facilities,Music venue,,
amenity,nightclub,Recreation and leisure facilities,Nightclub,,
historic,artwork,Tourist attractions,Artwork,,
amenity,crematorium,,Crematorium,,
amenity,events_venue,,Events venue,,
historic,building,,Historic building,,
amenity,post_office,,Post Office,,
building,theatre,,Theatre,,
shop,garden_centre,,Flower shop,,
shop,second_hand,,Second hand shop,,
amenity,childcare,,Nursery (kids),,
tourism,gallery,,Art gallery,,
shop,antiques,,Antiques shop,,
shop,estate_agent,,Real estate agent,,
office,government,,Government office,,
amenity,music_school,,Music school,,
shop,stationery,,Stationery,,
landuse,cemetery,,Cemetery,,
office,lawyer,,Lawyer,,
office,ngo,,NGO,,
leisure,dance,,Dance venues,,
office,notary,,Notary,,
office,university,,University Office,,
shop,music,,Music shop,,
shop,toys,,Toy shop,,
amenity,recycling,,Recycling container,,
aeroway,helipad,,Helipad,,
tourism,motel,,Motel,,
